product_id,product_type,return_reason,original_price,shipping_cost,refurbishment_cost,resale_value_loss_percent,resale_value_loss,total_return_cost
PID1000,Appliances,Damaged,13964,278.9556274712621,477.5017140653488,0.29441643700566833,4111.231126347153,4867.69
PID1001,Books,Wrong Item,8030,246.9492652624978,376.6041090978691,0.11017158442759337,884.6778229535747,1508.23
PID1002,Books,Damaged,3176,273.7087479108867,871.1578830725921,0.38072540204353494,1209.183876890267,2354.05
PID1003,Electronics,Damaged,23227,59.90470214531133,117.24680583164027,0.36043343784163856,8371.787460747739,8548.94
PID1004,Clothing,Wrong Item,29712,250.23549597160581,751.3935812344962,0.2863981014749852,8509.460391024759,9511.09
PID1005,Clothing,Quality Issue,29915,138.14368636087397,983.6727231795787,0.0972556703941837,2909.4033798420055,4031.22
PID1006,Clothing,Changed Mind,3956,145.9703307607663,846.52382354758,0.27629179972674134,1093.0103597189886,2085.5
PID1007,Electronics,Wrong Item,21160,248.4805337416421,373.9944341262657,0.3866364502464705,8181.227287215315,8803.7
PID1008,Furniture,Size Mismatch,4890,240.79392343891155,884.0439485013304,0.3220929845847051,1575.0346946192078,2699.87
PID1009,Furniture,Changed Mind,5316,260.53332301863793,369.7072185713406,0.18129400173104931,963.7589132022581,1594.0
PID1010,Furniture,Wrong Item,22615,195.56396178729878,387.4048269545043,0.29026577160508343,6564.360424848962,7147.33
PID1011,Books,Quality Issue,6502,166.85087038153068,982.0049872842783,0.30624708019793057,1991.2185154469446,3140.07
PID1012,Books,Size Mismatch,5061,66.68820748593595,14.616649049015162,0.2516951506529227,1273.8291574544417,1355.13
PID1013,Electronics,Quality Issue,23043,201.45910585731144,130.49990080161612,0.2964220804293578,6830.453999333692,7162.41
PID1014,Clothing,Size Mismatch,26452,177.57970635742814,969.4816678256046,0.0693526936290826,1834.517451876493,2981.58
PID1015,Electronics,Wrong Item,27217,292.14791675895395,884.8966272269749,0.17162882873086238,4671.221831567881,5848.27
PID1016,Furniture,Damaged,27833,222.02499252756346,437.3748533792477,0.16163113091013684,4498.679266621839,5158.08
PID1017,Electronics,Quality Issue,3285,114.24698729199127,91.37584229413609,0.19100923050389335,627.4653222052897,833.09
PID1018,Books,Changed Mind,26828,186.50109233335235,408.85885199502667,0.19477494339710955,5225.422181457655,5820.78
PID1019,Books,Wrong Item,6294,57.79568654828364,347.5301211748325,0.1551118016465422,976.2736795633366,1381.6
PID1020,Electronics,Changed Mind,17873,83.40312402891568,294.5661717722672,0.2079062655323926,3715.908683860453,4093.88
PID1021,Clothing,Size Mismatch,9827,230.47670230481867,617.4094380235571,0.3011683989275716,2959.581856261246,3807.47
PID1022,Clothing,Size Mismatch,14451,284.1943813972201,601.4529878298608,0.15403726197317763,2225.99247277439,3111.64
PID1023,Books,Wrong Item,8563,80.32227426323728,990.8122895991056,0.2403084836113466,2057.761545163961,3128.9
PID1024,Clothing,Size Mismatch,6914,292.77550026886934,133.24378933532188,0.35281000160151715,2439.3283510728897,2865.35
